Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENGREST_heat_load_shifting_1
50,1,0.4069,1,1,1,1,1,1,0.1816,0.4069,0,1,0.3182,1,1,1,1,1,1,0.2342,0.3182,0,1,0.6501,1,1,0.1824,0.6501,0,1,1,1,1,1,0.152336597,0,0.172045961,0.44181972
51,1,0.4068,1,1,1,1,1,1,0.1696,0.4068,0,1,0.3182,1,1,1,1,1,1,0.2856,0.3182,0,1,0.6502,1,1,0.1756,0.6502,0,1,1,1,1,1,0.187121183,0,0.189573288,0.442665539
52,1,0.4066,1,1,1,1,1,1,0.1621,0.4066,0,1,0.3182,1,1,1,1,1,1,0.3671,0.3182,0,1,0.6503,1,1,0.2,0.6503,0,1,1,1,1,1,0.199526519,0,0.318691969,0.458615273
53,1,0.4065,1,1,1,1,1,1,0.169,0.4065,0,1,0.3182,1,1,1,1,1,1,0.3614,0.3182,0,1,0.6504,1,1,0.2298,0.6504,0,1,1,1,1,1,0.226160377,0,0.509960473,0.505739488
54,1,0.4064,1,1,1,1,1,1,0.1211,0.4064,0,1,0.3182,1,1,1,1,1,1,0.3268,0.3182,0,1,0.6505,1,1,0.2734,0.6505,0,1,1,1,1,1,0.183621809,0,0.403186202,0.589052682
55,1,0.4062,1,1,1,1,1,1,0.0938,0.4062,0,1,0.3182,1,1,1,1,1,1,0.2762,0.3182,0,1,0.6506,1,1,0.2639,0.6506,0,1,1,1,1,1,0.122188985,0,0.482090294,0.635814403
56,1,0.4061,1,1,1,1,1,1,0.0928,0.4061,0.2147,1,0.3182,1,1,1,1,1,1,0.3377,0.3182,0.1899,1,0.6507,1,1,0.3078,0.6507,0.1703,1,1,1,1,1,0.137520224,0.395305604,0.416719675,0.643668439
57,1,0.406,1,1,1,1,1,1,0.2384,0.406,0.436,1,0.3182,1,1,1,1,1,1,0.6793,0.3182,0.4305,1,0.6508,1,1,0.341,0.6508,0.3583,1,1,1,1,1,0.328548133,0.641342103,0.428497672,0.648078782
58,1,0.4058,1,1,1,1,1,1,0.3066,0.4058,0.5787,1,0.3182,1,1,1,1,1,1,0.7365,0.3182,0.5707,1,0.6509,1,1,0.5544,0.6509,0.4939,1,1,1,1,1,0.396716595,0.765691698,0.5600034,0.653939101
59,1,0.4057,1,1,1,1,1,1,0.3292,0.4057,0.632,1,0.3182,1,1,1,1,1,1,0.8911,0.3182,0.6554,1,0.651,1,1,0.6632,0.651,0.5515,1,1,1,1,1,0.499022812,0.828145742,0.571449041,0.654966167
60,1,0.4056,1,1,1,1,1,1,0.3922,0.4056,0.6451,1,0.3182,1,1,1,1,1,1,0.8943,0.3182,0.6621,1,0.6511,1,1,0.621,0.6511,0.5697,1,1,1,1,1,0.538534641,0.888879836,0.68392539,0.652368294
61,1,0.4054,1,1,1,1,1,1,0.3307,0.4054,0.6207,1,0.3182,1,1,1,1,1,1,0.7112,0.3182,0.6529,1,0.6512,1,1,0.6835,0.6512,0.5708,1,1,1,1,1,0.468892992,0.886032701,0.938763678,0.651401643
62,1,0.4053,1,1,1,1,1,1,0.3784,0.4053,0.5504,1,0.3182,1,1,1,1,1,1,0.7989,0.3182,0.5731,1,0.6513,1,1,0.6098,0.6513,0.4763,1,1,1,1,1,0.487322062,0.810727179,0.831255794,0.648924601
63,1,0.4052,1,1,1,1,1,1,0.4111,0.4052,0.3781,1,0.3182,1,1,1,1,1,1,0.7933,0.3182,0.4127,1,0.6514,1,1,0.5581,0.6514,0.3256,1,1,1,1,1,0.587873876,0.624401689,0.940001607,0.65798695
64,1,0.405,1,1,1,1,1,1,0.4189,0.405,0.1371,1,0.3182,1,1,1,1,1,1,0.4585,0.3182,0.1725,1,0.6515,1,1,0.6882,0.6515,0.0502,1,1,1,1,1,0.362284303,0.305081964,1,0.709279845
65,1,0.4049,1,1,1,1,1,1,0.4118,0.4049,0,1,0.3182,1,1,1,1,1,1,0.6187,0.3182,0,1,0.6516,1,1,0.68,0.6516,0,1,1,1,1,1,0.35654062,0,1,0.765405993
66,1,0.4048,1,1,1,1,1,1,0.5302,0.4048,0,1,0.3182,1,1,1,1,1,1,0.7853,0.3182,0,1,0.6517,1,1,0.676,0.6517,0,1,1,1,1,1,0.506931663,0,1,0.766916385
